Nov 23 00:28:50 lvl1: 	Error - folder with path "/home/ziko/Games/ROMS/zxspectrum" is not a directory!
Nov 23 00:28:50 lvl1: 	System "zxspectrum" has no games! Ignoring it.
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:50 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:28:51 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:29:05 lvl2: 	 req sound [detailed.launch]
Nov 23 00:29:05 lvl2: 	   (missing)
Nov 23 00:29:06 lvl2: 	Attempting to launch game...
Nov 23 00:29:06 lvl2: 		mame "/home/ziko/Games/ROMS/mame/88games.zip"
Nov 23 00:29:10 lvl2: 	Creating window...
Nov 23 00:29:10 lvl2: 	Created window successfully.
Nov 23 00:29:10 lvl2: 	GL vendor:   Intel
Nov 23 00:29:10 lvl2: 	GL renderer: Mesa Intel(R) HD Graphics 620 (KBL GT2)
Nov 23 00:29:10 lvl2: 	GL version:  4.6 (Compatibility Profile) Mesa 23.2.1-arch1.2
Nov 23 00:29:10 lvl2: 	Checking available OpenGL extensions...
Nov 23 00:29:10 lvl2: 	 ARB_texture_non_power_of_two: ok
Nov 23 00:29:10 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:29:10 lvl2: 	Added/Updated 1 entities in '/home/ziko/.emulationstation/gamelists/mame/gamelist.xml'
Nov 23 00:29:10 lvl2: 	Saved gamelist.xml for system "mame" in 7 ms
Nov 23 00:29:10 lvl1: 	 requested mismatched theme type for [detailed.md_releasedate] - expected "datetime", got "text"
Nov 23 00:29:13 lvl2: 	EmulationStation cleanly shutting down.
